Orden,Nombre,Frecuencia,Edad Media
1,ANTONIO,715215,54.6
2,JOSE,641525,60.0
3,MANUEL,618891,54.0
4,FRANCISCO,530309,56.0
5,JUAN,367726,54.9
6,DAVID,359930,28.3
7,JOSE ANTONIO,316275,47.3
8,JAVIER,303247,30.9
9,JOSE LUIS,301752,51.0
10,FRANCISCO JAVIER,289325,42.0
11,DANIEL,287431,25.6
12,JESUS,285447,47.0
13,CARLOS,279356,37.1
14,MIGUEL,255008,45.7
15,ALEJANDRO,250968,24.1
16,JOSE MANUEL,246170,44.8
17,RAFAEL,244201,49.2
18,PEDRO,236128,52.5
19,MIGUEL ANGEL,228444,41.1
20,ANGEL,227241,49.4
21,JOSE MARIA,216373,52.0
22,FERNANDO,209826,47.0
23,PABLO,209241,26.2
24,LUIS,202754,51.1
25,SERGIO,202312,26.0
26,JORGE,190500,32.2
27,ALBERTO,179981,34.8
28,JUAN CARLOS,161182,42.7
29,JUAN JOSE,156691,46.5
30,ALVARO,150158,20.4
31,DIEGO,147597,31.5
32,ADRIAN,144663,17.3
33,RAUL,138561,28.9
34,JUAN ANTONIO,137040,46.7
35,ENRIQUE,134465,48.3
36,RAMON,131186,56.2
37,IVAN,130620,22.8
38,VICENTE,128141,57.3
39,RUBEN,125246,24.9
40,OSCAR,121969,31.5
41,ANDRES,119971,46.0
42,JOAQUIN,118155,52.7
43,JUAN MANUEL,114896,43.7
44,SANTIAGO,112725,46.5
45,EDUARDO,108492,42.9
46,VICTOR,104397,28.8
47,ROBERTO,98412,37.7
48,JAIME,97710,40.0
49,FRANCISCO JOSE,95972,38.9
50,MARIO,94940,23.6
51,IGNACIO,91455,38.0
52,ALFONSO,88026,49.3
53,MARCOS,86360,23.7
54,SALVADOR,85293,51.9
55,RICARDO,84282,47.1
56,JORDI,83330,37.1
57,EMILIO,77443,55.4
58,JULIAN,71608,55.5
59,GUILLERMO,71481,32.7
60,JULIO,70909,53.1
61,GABRIEL,69686,36.6
62,TOMAS,68010,52.7
63,AGUSTIN,66454,54.4
64,JOSE MIGUEL,65616,42.5
65,HUGO,64375,9.0
66,MARC,64203,18.5
67,GONZALO,63121,30.9
68,JOSE RAMON,60383,50.1
69,MOHAMED,60078,33.8
70,FELIX,60041,56.8
71,JOAN,56731,40.9
72,NICOLAS,55053,29.3
73,ISMAEL,54684,27.3
74,CRISTIAN,53137,21.0
75,SAMUEL,50810,19.1
76,MARTIN,48883,34.6
77,JOSEP,48737,52.3
78,MARIANO,48675,58.9
79,AITOR,48144,20.5
80,JUAN FRANCISCO,48076,43.4
81,DOMINGO,47972,59.6
82,ALFREDO,45488,51.1
83,JOSE CARLOS,45451,40.6
84,SEBASTIAN,45131,49.0
85,HECTOR,44250,19.5
86,CESAR,42909,38.0
87,FELIPE,42823,53.2
88,IKER,41154,12.1
89,JOSE ANGEL,41073,41.8
90,JOSE IGNACIO,40199,46.7
91,VICTOR MANUEL,39366,37.2
92,ALEX,37572,12.1
93,LUIS MIGUEL,37209,40.6
94,GREGORIO,36680,60.0
95,RODRIGO,35195,21.4
96,JOSE FRANCISCO,35135,45.4
97,LUCAS,34796,16.6
98,JUAN LUIS,34755,44.5
99,ALBERT,34010,31.1
100,XAVIER,34008,31.4
101,LORENZO,33042,54.2
102,ESTEBAN,32014,49.4
103,CRISTOBAL,31927,51.3
104,ANTONIO JOSE,30712,40.1
105,ARTURO,30146,42.8
106,EUGENIO,29909,58.8
107,BORJA,29814,22.7
108,PAU,28277,14.4
109,JOSE JAVIER,27953,42.5
110,JUAN MIGUEL,27295,42.7
111,JESUS MARIA,26945,51.5
112,ANTONIO JESUS,26667,33.8
113,JAUME,26510,44.5
114,FRANCISCO MANUEL,26108,38.5
115,AARON,26017,12.6
116,VALENTIN,25813,53.7
117,ISAAC,25694,29.4
118,GERMAN,25572,42.9
119,JONATHAN,24548,23.8
120,PEDRO JOSE,24467,42.9
121,JOSE VICENTE,24253,47.1
122,MATEO,24096,24.5
123,MOHAMMED,23762,35.9
124,ABEL,23635,30.5
125,ERIC,23504,13.2
126,ASIER,23502,19.2
127,JOEL,23382,12.9
128,MOISES,23005,35.6
129,ADOLFO,22934,53.8
130,JUAN RAMON,22626,47.4
131,MIKEL,22395,23.7
132,SERGI,22233,21.2
133,CHRISTIAN,22074,20.3
134,JUAN PEDRO,21989,44.7
135,BENITO,21623,60.5
136,AHMED,21589,41.0
137,ISIDRO,21483,56.9
138,MANUEL JESUS,21146,36.7
139,IÑIGO,21047,28.5
140,UNAI,20833,15.6
141,ERNESTO,20823,48.7
142,BERNARDO,20638,54.9
143,GERARDO,20231,53.0
144,DARIO,19967,18.3
145,IZAN,19852,5.8
146,GERARD,19784,18.3
147,CARMELO,19753,55.5
148,MIQUEL,19696,38.3
149,JON,19490,22.8
150,ANTONIO MANUEL,19299,38.9
151,PASCUAL,19212,57.9
152,ISRAEL,19184,28.3
153,FEDERICO,18923,53.0
154,ORIOL,18536,19.3
155,FRANCESC,18533,44.6
156,POL,18495,11.8
157,OMAR,18401,24.7
158,ELOY,18167,38.4
159,JONATAN,17763,26.7
160,ARNAU,17762,12.5
161,BRUNO,17573,18.9
162,BARTOLOME,17542,57.9
163,JESUS MANUEL,17498,43.1
164,JOSE ALBERTO,17396,40.4
165,MARCELINO,17206,62.3
166,JOSEP MARIA,16970,54.7
167,JUAN JESUS,16892,40.8
168,LUIS ALBERTO,16587,41.8
169,FERMIN,16359,56.3
170,PERE,16042,49.4
171,BENJAMIN,15996,48.5
172,IÑAKI,15966,34.8
173,AURELIO,15667,60.6
174,MARCO,15616,15.1
175,LLUIS,15586,45.4
