Orden,Nombre,Frecuencia,Edad Media
1,MARIA CARMEN,668639,54.5
2,MARIA,633600,48.9
3,CARMEN,415535,60.2
4,JOSEFA,298346,66.4
5,ISABEL,279932,56.2
6,ANA MARIA,277090,48.8
7,MARIA PILAR,267272,54.5
8,MARIA DOLORES,265341,54.3
9,MARIA TERESA,256586,54.6
10,ANA,255010,43.1
11,LAURA,253818,26.1
12,MARIA ANGELES,230218,53.0
13,CRISTINA,229683,31.2
14,FRANCISCA,228133,63.3
15,MARTA,221764,27.0
16,ANTONIA,221372,63.1
17,DOLORES,214294,65.5
18,MARIA ISABEL,205596,50.0
19,MARIA JOSE,204536,43.3
20,LUCIA,190438,22.6
21,MARIA LUISA,166577,58.8
22,SARA,160936,23.0
23,ELENA,160894,35.6
24,PILAR,159537,62.1
25,PAULA,158230,18.6
26,CONCEPCION,157115,63.9
27,MANUELA,149434,60.1
28,ROSA MARIA,148432,49.3
29,RAQUEL,148338,33.4
30,MERCEDES,147281,59.4
31,MARIA JESUS,141368,52.8
32,ROSARIO,129491,62.1
33,JUANA,129429,64.3
34,TERESA,"128484",61.1
35,BEATRIZ,"124265",34.7
36,ENCARNACION,"123403",61.5
37,NURIA,"120959",35.7
38,SILVIA,"119972",33.2
39,JULIA,"119475",42.2
40,MONTSERRAT,"113296",52.0
41,IRENE,"112882",25.1
42,PATRICIA,"112223",28.8
43,ROSA,"111803",63.5
44,ALBA,"106287",14.8
45,ANDREA,"105711",20.4
46,ROCIO,"104584",26.9
47,MONICA,"103306",34.8
48,MARIA MAR,"99827",40.5
49,ANGELA,"99646",44.4
50,ALICIA,"98412",37.2
51,SONIA,"98017",34.3
52,SANDRA,"97579",26.4
53,SUSANA,"96106",39.2
54,MARINA,"95389",31.5
55,MARGARITA,"94238",58.0
56,YOLANDA,"92733",39.7
57,NATALIA,"91037",25.8
58,MARIA JOSEFA,"90506",60.0
59,MARIA ROSARIO,"81312",56.2
60,INMACULADA,"80042",41.2
61,EVA,"78366",30.7
62,MARIA MERCEDES,"77242",52.4
63,ESTHER,"76706",39.0
64,ANA ISABEL,"76236",40.2
65,CLAUDIA,"74117",14.8
66,ANGELES,"73615",64.3
67,NOELIA,"72794",25.1
68,VERONICA,"71493",30.6
69,CARLA,"66556",11.2
70,AMPARO,"65145",63.0
71,CAROLINA,64778,30.9
72,MARIA ROSA,64419,58.6
73,MARIA VICTORIA,64029,49.9
74,NEREA,63377,16.0
75,SOFIA,62985,20.0
76,EVA MARIA,62931,38.3
77,MARIA CONCEPCION,62111,59.5
78,LORENA,61502,25.2
79,ANA BELEN,60649,34.7
80,MIRIAM,60622,24.2
81,VICTORIA,60176,48.2
82,INES,59967,36.0
83,MARIA ELENA,59809,46.7
84,MARIA ANTONIA,58238,57.4
